book,unit,source_file,global_chapter,local_chapter,title,type,tags,summary,core,normalized_percent,action,conflict,climax,reward,breakthrough,cultivation,emotion,reveal,tension,pleasure
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,16,16,看守所,矛盾展现 | 环境铺陈,冲突、设定,罗峰被送入宜安区看守所。看守所内囚犯多为地痞流氓，张昊白暗中打点让囚犯在牢房内对付罗峰。罗峰被安排进一间大牢房，周围囚犯不怀好意地打量他。压抑紧张的氛围铺陈。,看守所环境与械斗前夕的紧张铺陈。,1.0107816711590296,0,1,0,0,0,0,0,0,1.8,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,17,17,牢房中的深夜,矛盾展现 | 氛围营造,冲突、设定,深夜牢房，囚犯们在张昊白打点下准备对罗峰动手。罗峰察觉危险气息，保持警惕。牢房中的压抑氛围，囚犯们窃窃私语策划围攻。罗峰一人面对整间牢房的敌人。,械斗前夜的紧张氛围，以寡敌众的危机感。,1.078167115902965,1,1,0,0,0,0,0,0,2.9000000000000004,0.8
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,18,18,械斗,战斗描写 | 转折高潮,战斗、高潮,深夜械斗爆发。囚犯们持自制武器围攻罗峰，罗峰以准武者身手一人挑翻一群。混乱中一名囚犯投掷飞刀射向罗峰右肩——生死瞬间，罗峰脑中剧烈疼痛，一股奇异力量爆发，飞刀被无形力量偏移！囚犯们被罗峰爆发出的力量震慑。,械斗高潮+精神念力在生死瞬间初次爆发的转折。,1.1455525606469004,1,1,1,0,0,0,0,0,5.300000000000001,2.1
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,19,19,觉醒,悟道 | 转折高潮 | 核心伏笔,伏笔、修炼、高潮、爽点,械斗中罗峰脑中剧烈疼痛，感觉有什么东西碎裂——识海中暗金色圆球释放出精神念力！精神念力如潮水般涌出，罗峰可以感知周围一切、隔空控物。全身渗血、剧烈头疼后是前所未有的清醒。罗峰意识到自己获得了某种超凡能力。,精神念力觉醒——全篇核心转折点，暗金色圆球伏笔揭开第一层。,1.2129380053908356,0,0,1,1,0,1,0,1,3.6999999999999997,1.8
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,20,20,暗金色圆球,悟道 | 设定揭示,修炼、揭示、设定、爽点,罗峰感知到识海中悬浮着一颗暗金色圆球，精神念力从圆球中散发出来。罗峰尝试控制精神念力——隔空移物、感知周围数米范围。暗金色圆球是精神念力凝聚的固体形态，是精神念师的标志。罗峰隐藏这一秘密。,暗金色圆球设定揭示，精神念师能力的初步探索。,1.280323450134771,0,0,0,0,0,1,0,1,0.4,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,21,21,罗哥，你好,爽点设置 | 情节推进,爽点,"械斗事件后，看守所囚犯对罗峰态度大变，恭敬喊""罗哥""。张昊白得知罗峰一人挑翻整间牢房后恐惧。安全局查清真相——囚犯先动手，罗峰正当防卫，无罪释放。",械斗后续，罗峰在看守所的威望确立。,1.3477088948787064,0,0,0,1,0,0,0,1,1.3,2.2
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,22,22,赔偿金,爽点设置 | 矛盾收束,冲突、爽点,张昊白家族迫于压力赔偿罗峰100万华夏币。罗峰用这笔钱改善家庭生活。张昊白被家族严厉警告不得再招惹罗峰。罗峰与张昊白的矛盾暂时收束。,赔偿金的爽点，张昊白对手线暂时收束。,1.4150943396226416,0,1,0,1,0,0,0,0,2.7,2.2
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,23,23,血影战刀,设定展开 | 装备获取,奖励、设定,罗峰在极限之家商城购买装备——血影战刀（5系战刀，重101kg），以及5系作战服、护臂、战靴等。装备价格体系展开：1-9系对应H-S级，9系全价数亿。罗峰的拳力测试达3109kg，已接近战士级武者标准。,装备体系设定，血影战刀获取，拳力数据确认。,1.482479784366577,0,0,0,1,0,0,0,0,0.9,0.5
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,24,24,激动的江年,情节推进 | 人物引入,人物,极限武馆武者江年得知罗峰实力数据后激动——罗峰天赋极高，有望成为战将级甚至战神级武者。江年开始关注罗峰。罗峰准备参加武者实战考核。,江年人物引入，罗峰天赋被武馆高层关注。,1.5498652291105122,0,0,0,0,0,0,0,0,0.0,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,25,25,武者的等级,设定展开 | 世界观铺陈,设定,"完整展开武者等级体系——战士级（初/中/高级）、战将级（初/中/高级）、战神级（初/中/高级），以及超越战神级的存在。各级别对应拳力、速度、神经反应的数据标准。洪和雷神是超越战神级的存在。原文标注""第一集结束""。",武者等级体系完整设定，第一集结束标记。,1.6172506738544474,0,0,0,0,0,0,0,0,0.0,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,26,26,诸葛韬,情节推进 | 人物引入,人物,江南基地市极限武馆四大巨头之一诸葛韬（高等战将级）破格审核罗峰的武者资格，给予秘籍购买额度1亿华夏币。诸葛韬看好罗峰的潜力。罗峰正式进入武者体系。,诸葛韬人物引入，罗峰获得破格待遇。,1.6846361185983827,0,0,0,1,0,0,0,0,0.9,0.5
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,27,27,搬家,爽点设置 | 情感展现,情感、爽点,罗峰成为武者后收入大增，全家从36平米廉租房搬入明月小区512平米别墅。父亲罗洪国喜极而泣，母亲龚心兰激动不已，弟弟罗华终于有自己的大房间。明月小区是武者小区，安全有保障。,搬入别墅的爽点，家庭条件改善的情感高潮。,1.7520215633423182,0,0,0,1,0,0,1,0,1.5,2.2
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,28,28,武者实战考核,设定展开 | 情节推进,设定,罗峰参加武者实战考核出发准备。四大势力（极限武馆、雷电武馆、HR联盟、安全局）在考核现场宣传招揽新武者。武者实战考核在荒野区边缘的怪兽小镇进行。,武者实战考核设定，四大势力介绍。,1.8194070080862534,0,0,0,0,0,0,0,0,0.0,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,29,29,怪兽小镇,环境铺陈 | 情节推进,设定,罗峰到达怪兽小镇准备实战考核。邬通叮嘱罗峰磨练心性不要冲动。万冬——另一名新武者挑衅罗峰被冷拒。怪兽小镇是基地市与荒野区的缓冲地带，怪兽出没但数量较少。,怪兽小镇环境铺陈，万冬对手线引入。,1.8867924528301887,0,0,0,0,0,0,0,0,0.0,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,30,30,第一次杀戮,战斗描写 | 人物心理,情感、战斗,罗峰在怪兽小镇第一次杀戮——铁毛野猪。心颤但迅速调整心态。罗峰刻意压制实力到1000kg/30m/s磨练身法。万冬目睹罗峰两刺秒杀影猫震惊不已。第一次面对怪兽的生死搏杀。,第一次杀戮的心理转变，实力刻意压制的磨练。,1.954177897574124,1,1,0,0,0,0,1,0,3.5000000000000004,0.8
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,31,31,入微级,悟道 | 设定揭示,修炼、揭示、设定、爽点,"罗峰的身法被王衡从监控中发现达到""入微级""——最小幅度躲避最高效化。实际上罗峰用精神念力辅助闪避，是""变异入微级""。王衡决定挖人。身法四级体系首次提及：基础级→入微级→完美级→意境级。",入微级身法被发现的爽点，身法体系首次引入。,2.0215633423180592,0,0,0,0,0,1,0,1,0.4,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,32,32,雷电武馆的邀请,矛盾展现 | 爽点设置,冲突、爽点,"雷电武馆邀请罗峰加入——特等培训合同+雷神亲自指点。王衡（雷电武馆）试图挖人。罗峰拒绝，坚守极限武馆。王衡告知万冬""三个你也比不过一个罗峰""。两大武馆对罗峰的争夺。",两馆争夺罗峰的爽点，罗峰忠诚度的展现。,2.0889487870619945,0,1,0,1,0,0,0,0,2.7,2.2
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,33,33,极限之家,设定展开 | 爽点设置,爽点、设定,罗峰正式成为武者，极限之家首次登录。武者证号码426123205608010002。2000万华夏币到账。罗峰在极限之家浏览商城和精神念师相关信息。精神念师真相的进一步揭示。,正式武者身份确认，2000万到账的爽点。,2.15633423180593,0,0,0,1,0,0,0,1,1.3,2.2
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,34,34,罗峰头疼的根源,设定揭示 | 核心伏笔揭开,伏笔、揭示、设定,精神念师真相揭示——暗金色圆球是精神念力凝聚的固体形态，固体形态代表最高潜力。罗峰从小就头疼的根源正是精神念力在识海中凝聚固体过程中产生的压力。精神念师分为液体、雾化、固体三个层次，固体为最高。,头疼病伏笔揭开——精神念力固体形态，核心设定揭示。,2.223719676549865,0,0,0,0,0,0,0,1,0.4,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,35,35,买不买？,矛盾展现 | 设定展开,冲突、设定,罗峰在极限之家犹豫是否购买《九重雷刀》秘籍——前三重全价1亿华夏币。秘籍有红色警告：全球众多武者连第一重都入不了门。《九重雷刀》是雷电武馆馆主雷神创出的究级刀法功法。罗峰纠结是否冒险。,九重雷刀秘籍引入，购买的纠结矛盾。,2.2911051212938007,0,1,0,0,0,0,0,0,1.8,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,36,36,昂贵的装备,设定展开 | 矛盾展现,冲突、设定,装备价格体系详细展开——2000万不够一套5系全价装备。张泽虎谈判（5000万vs500万私了）——张泽虎宁愿给国家一个亿也不三千万私了，谈判破裂。张泽虎与火锤小队的矛盾起源。,装备价格体系，张泽虎矛盾线引入。,2.358490566037736,0,1,0,0,0,0,0,0,1.8,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,37,37,谈判,矛盾展现 | 情节推进,冲突,张泽虎谈判彻底破裂。张泽虎的嚣张态度埋下后续虎牙小队暗算火锤小队的仇恨种子。火锤小队队长高风决定吸收罗峰加入。,谈判破裂推动火锤小队组建。,2.4258760107816713,0,1,0,0,0,0,0,0,1.8,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,38,38,火锤小队,人物引入 | 情节推进,人物,"火锤小队成员介绍——队长""双风锤""高风、副队长""火炮""陈谷、""铁枪""张科、""双月弯刀""魏铁魏青兄弟。罗峰加入火锤小队。小队以近战配合著称，六人各有所长。",火锤小队全员引入，罗峰入队。,2.4932614555256065,0,0,0,0,0,0,1,0,0.6,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,39,39,十重暗劲,悟道 | 设定展开,修炼、设定、爽点,罗峰启动《九重雷刀》修炼。暗劲极难领悟，罗峰转练18招基础刀法打基础。导引术九重浑源配合基因原能修炼效果明显。《九重雷刀》的暗劲体系——每多重一道暗劲，力道倍增。十重暗劲对应九重雷刀。,九重雷刀修炼启动，暗劲体系设定。,2.560646900269542,0,0,0,0,1,1,0,0,1.0,0.9
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,40,40,HR联盟商城,情感展现 | 爽点设置 | 情节推进,情感、爽点,"罗峰在HR联盟商城偶遇徐欣——高中暗恋对象。二人目光相对心生悸动，徐欣主动留话""你到时候一定过来""。火锤小队六人全副武装出发赴荒野区。原文标注""第二集结束""。",徐欣感情线推进，火锤小队出发荒野区，第二集结束标记。,2.628032345013477,0,0,0,1,0,0,1,0,1.5,2.2
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,41,41,荒野区,环境铺陈 | 世界观展开,设定,"火锤小队进入荒野区行军。途经武者补给基地E6号。偶遇张泽虎（正在养伤），双方对骂。张泽虎诅咒火锤小队""非死即重伤""。荒野区的黑暗法则——武者之间弱肉强食。",荒野区环境铺陈，张泽虎仇恨加深。,2.6954177897574128,0,0,0,0,0,0,0,0,0.0,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,42,42,独角野猪,战斗描写 | 爽点设置,战斗、爽点,"火锤小队首战独角野猪。罗峰旋转劈刀劈入颈部五公分。火锤小队从怀疑罗峰到震撼""得到宝了""。魏家兄弟实战教学——攻击弱点眼睛、菊花、喉咙、嘴巴。",荒野区首战的爽点，火锤小队对罗峰的认可。,2.7628032345013476,1,0,0,1,0,0,1,0,2.6,3.5
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,43,43,惊人的进步,悟道 | 战斗描写,修炼、战斗、爽点,罗峰在荒野区实战中飞速进步。身法、刀法、战斗经验快速提升。魏家兄弟传授攻击弱点的战术。火锤小队配合默契度增加。,罗峰实战进步的展示。,2.8301886792452833,1,0,0,0,0,1,1,0,1.7000000000000002,0.8
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,44,44,制高点,战术展现 | 设定展开,战斗、设定,火锤小队的制高点战术——高层天台+望远镜+狙击枪（陈谷远程狙击）。发现嗜血坦克（兽将级怪兽），陈谷远程狙击穿甲弹命中耳背要害。,制高点战术体系，陈谷狙击手角色展示。,2.897574123989218,1,0,0,0,0,0,0,1,1.5,0.8
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,45,45,兽将级怪兽,战斗描写 | 设定展开,战斗、设定,嗜血坦克的兽将级怪兽设定展开。兽将级怪兽比兽兵级强大得多，带领兽兵群作战。虎牙小队视角引入——追杀重伤银月凶狼进入0201号县城。,兽将级设定，虎牙小队视角引入。,2.964959568733154,1,1,0,0,0,0,0,0,2.9000000000000004,0.8
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,46,46,怪兽的尸体,战斗描写 | 团队配合,战斗,抢夺嗜血坦克尸体——定时炸弹打乱兽群+高风重锤开路+陈谷机枪扫射+罗峰踹飞铁毛野猪救张科。火锤小队团队配合的精彩战斗。,团队配合战斗的爽点。,3.032345013477089,1,0,0,0,0,0,0,0,1.1,0.8
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,47,47,虎牙小队,矛盾展现 | 对手引入,冲突,"虎牙小队策略展示——""如果有人抢银月凶狼直接杀掉""。荒野区黑暗法则的残酷。虎牙小队成员介绍——队长潘亚、独眼中年人、张泽虎等六人。",虎牙小队作为对手的完整引入。,3.0997304582210243,0,1,0,0,0,0,0,0,1.8,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,48,48,动手,矛盾爆发 | 战斗描写,冲突、战斗,双尾虎猫战斗——魏家兄弟被撞飞吐血，罗峰精神念力暗中辅助避开利爪，高风重锤硬拼。虎牙小队从500米外发现火锤小队。,双尾虎猫战斗，精神念力暗中辅助。,3.167115902964959,1,1,0,0,0,0,1,1,3.9000000000000004,0.8
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,49,49,死亡危机,战斗描写 | 矛盾爆发 | 转折高潮,冲突、战斗、高潮,虎牙小队队长潘亚决定暗杀——两杆狙击枪同时瞄准火锤小队。九重雷刀第一重在生死间水到渠成突破——腰胯迸发第二道力道（14成力道）！精神念力双重作用（加速战刀+减速子弹）劈开穿甲弹。高风侥幸擦耳，张科右臂被炸飞。超过一千头怪兽围攻。,第一重突破+精神念力劈子弹的转折高潮，张科断臂。,3.234501347708895,1,1,1,0,1,0,1,0,6.9,3.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,50,50,滴血的飞刀,战斗描写 | 身份暴露,战斗、揭示,精神念师身份暴露——六柄飞刀悬浮。六柄飞刀绞杀三十余头怪兽。火锤小队震撼发现罗峰是精神念师。危机中罗峰展现出精神念师的恐怖战斗力。,精神念师身份在火锤小队内暴露，飞刀绞杀的战斗爽点。,3.30188679245283,1,1,0,0,0,0,0,1,3.3000000000000003,0.8
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,51,51,休整,情节推进 | 设定揭示,揭示、设定,精神念师身份确认——张科分析罗峰精神念力为中级战将级。保密约定——示敌以弱。张科宣布退役告别——大涅槃时期儿时梦想、十多年武者生涯的疲倦、退出的理由。张科将出任区级极限武馆教官。,精神念师实力被分析，张科退役的情感转折。,3.3692722371967654,0,0,0,0,0,0,0,1,0.4,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,52,52,银月凶狼,战斗描写 | 爽点设置,战斗、爽点,九重雷刀第一重在星空下验证。银月凶狼发现，罗峰独自追杀——精神念师踏物飞行+六柄飞刀战术（四柄迷惑两柄最强攻击）。罗峰首次展示精神念师全力战斗。,独自追杀银月凶狼的爽点，踏物飞行展示。,3.436657681940701,1,1,0,1,0,0,0,1,4.2,3.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,53,53,解剖,设定展开 | 情节推进,设定,解剖银月凶狼——皮毛防御惊人，5系战刀切不开，接近领主级。处理追踪信号。虎牙小队发现银月凶狼被抢，愤怒追杀。,银月凶狼材料价值设定，虎牙小队追杀。,3.5040431266846364,1,1,0,0,0,0,0,1,3.3000000000000003,0.8
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,54,54,补给基地,矛盾展现 | 情节推进,冲突,火锤小队回补给基地。与虎牙小队正面遭遇——高风挥锤冲过去被卫队制止。虎牙小队否认暗杀（火锤小队无证据憋火）。双方水火不容。,火锤与虎牙正面冲突，仇恨升级。,3.571428571428571,0,1,0,0,0,0,0,0,1.8,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,55,55,分钱,爽点设置 | 设定展开,爽点、设定,分钱——嗜血坦克1600万、双尾虎猫1200万、虎獒犬1000万。银月凶狼材料8亿华夏币成交（方经理检测高级兽将级接近领主级）。,分钱的爽点，银月凶狼8亿的震撼。,3.638814016172507,0,0,0,1,0,0,0,0,0.9,2.2
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,56,56,回归基地市，徐欣的背景,设定揭示 | 矛盾展现,冲突、揭示、设定,生命之水引出——300亿华夏币、地龙王精魄、有价无市、治弟弟执念点燃。回家团聚（张科妻女泪水）。9系飞刀两柄4500万。徐欣是HR联盟十二大家族徐家成员的背景曝光。,生命之水目标确立，徐欣背景曝光。,3.706199460916442,0,1,0,0,0,0,1,1,2.8,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,57,57,价格，狂喜,悟道 | 设定展开,修炼、设定、爽点,"九重雷刀修炼——基因原能吸收翻倍，暗劲发力让细胞深层参与运动""饭量""大增。最佳训练法：流光+挥刀到精疲力竭→导引术恢复→再练→导引术→基因原能，六小时一循环。",修炼体系深化，最佳训练法确立。,3.7735849056603774,0,0,0,0,0,1,0,0,0.0,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,58,58,未来规划,悟道 | 情节推进,修炼、爽点,罗峰规划未来——修炼九重雷刀、攒钱买生命之水、隐藏精神念师身份。徐欣背景曝光后罗峰对自身差距的认知。,罗峰未来路线规划。,3.840970350404313,0,0,0,0,0,1,0,1,0.4,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,59,59,入迷,悟道 | 修炼描写,修炼、爽点,罗峰沉浸在九重雷刀修炼中。暗劲发力的领悟逐渐深入。基因原能修炼效果显著。,修炼入迷的状态展示。,3.908355795148248,0,0,0,0,1,1,0,0,1.0,0.9
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,60,60,野心,矛盾展现 | 人物心理 | 爽点设置,冲突、情感、爽点,"徐刚（徐欣家族成员）贬低武者——""武者行走生死边缘""+""家族麾下一群战将级武者""。罗峰反击——超越战神级存在令国家军队平等对待、家族财团只是蚂蚁。野心滋生——""一定要踏上武者巅峰！让徐家笑脸相迎""。原文标注""第三集结束""。",徐刚贬低武者的矛盾，罗峰野心滋生的转折，第三集结束标记。,3.975741239892183,1,1,0,1,0,0,1,0,4.4,3.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,61,61,0231,环境铺陈 | 情节推进,设定,"第四集开始。徐刚忖度""动用手段""。罗峰独自进入0231号县城苦修。0231号县城的环境描写。",独入0231号县城苦修的开始。,4.0431266846361185,0,0,0,0,0,0,0,0,0.0,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,62,62,杀机潜伏,矛盾展现 | 伏笔埋设,伏笔、冲突,"虎牙小队杀机潜伏——""先杀高风再杀小虾米""策略。虎牙小队对火锤小队的追杀计划。",虎牙小队杀机，伏笔埋设。,4.110512129380054,1,1,0,0,0,0,0,0,2.9000000000000004,0.8
